entry_name,item_no,item_code,item_name,timing_group,support_type,requirement_symbol,requirement_meaning,data_type,xml_data_type,act_mood_code,observation_class_code,observation_mood_code,xml_unit,code_table_oid,note
初回面接実施情報,1301,1022000011,初回面接の実施日付,first_claim,motivational_equivalent,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
初回面接実施情報,1301,1022000011,初回面接の実施日付,legal_report,motivational,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
初回面接実施情報,1301,1022000011,初回面接の実施日付,legal_report,active,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
初回面接実施情報,1301,1022000011,初回面接の実施日付,legal_report,motivational_equivalent,○,必須入力項目,年月日,,EVN,,,,,YYYYMMDD
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,first_claim,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,first_claim,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,first_claim,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,legal_report,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,legal_report,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1302,1022000012,初回面接による支援の支援形態,legal_report,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24010,"1:個別支援（対面） 2:個別支援（遠隔） 3:グループ支援（対面） 4:グループ支援（遠隔） 5:電話 6:電子メール等 ※5と6は初回面接を分割して実施した場合の2回目（初回面接②）のみ入力可能"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,first_claim,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,first_claim,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,first_claim,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,second_claim,motivational,△,情報を入手した場合に入力,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,second_claim,active,△,情報を入手した場合に入力,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,second_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,legal_report,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,legal_report,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1303,1022000016,健診後早期の初回面接,legal_report,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.24070,"0:実施なし 1:当日 2:1週間以内（当日は除く）"
初回面接実施情報,1304,1022000013,初回面接の実施時間,first_claim,motivational,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1304,1022000013,初回面接の実施時間,first_claim,active,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1304,1022000013,初回面接の実施時間,first_claim,motivational_equivalent,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1304,1022000013,初回面接の実施時間,legal_report,motivational,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1304,1022000013,初回面接の実施時間,legal_report,active,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1304,1022000013,初回面接の実施時間,legal_report,motivational_equivalent,○,必須入力項目,数字,,EVN,OBS,EVN,min,,
初回面接実施情報,1305,1022000015,初回面接の実施者,first_claim,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
初回面接実施情報,1305,1022000015,初回面接の実施者,first_claim,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
初回面接実施情報,1305,1022000015,初回面接の実施者,first_claim,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
