項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
収縮期血圧(その他),9A755000000000001,1.2.392.200119.6.1005,mmHg,mm[Hg],PQ,,3：その他,血圧等,数字,9A75500009,//cda:observation[ cda:code/@code='9A755000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
周りの人から「いつも同じことを聞く」などの物忘れがあると言われていますか（後期）,9N941000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19100,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
咀嚼,9N872000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18030,,質問票,コード,,//cda:observation[ cda:code/@code='9N872000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
喀痰検査 (塗抹鏡検 一般細菌)(所見),6A010160806170449,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
喀痰検査 (塗抹鏡検 一般細菌)(所見の有無),6A010160706170411,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
喀痰検査(ガフキー号数),6A205165606171711,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2131,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
喀痰検査(塗抹鏡検 抗酸菌),6A205000006171711,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
喀痰細胞診検査,7A010000006143311,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2130,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
喫煙,9N736000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24060,,質問票,コード,,//cda:observation[ cda:code/@code='9N736000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
婦人科診察(所見),9N271160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
婦人科診察(所見の有無),9N271160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
子宮体部細胞診 (細胞診婦人科材料),7A022000008543311,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2122,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
子宮内診(所見),9N296160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
子宮内診(所見の有無),9N296160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
子宮頚部視診(所見),9N291160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
子宮頚部視診(所見の有無),9N291160700000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
子宮頸部細胞診 (細胞診婦人科材料)(ベセスダシステム2001),7A021165208543311,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18100,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
子宮頸部細胞診 (細胞診婦人科材料)(日母分類),7A021165008543311,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2120,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
尿中アルブミンクレアチニン補正値／アルブミン指数,3A015000000106128,1.2.392.200119.6.1005,mg/g･CR,mg/g*CR,PQ,,1：免疫比濁法（TIA）,尿検査,数字,3A01550000,,,,,,,変更なし,,2025-08-20
尿中アルブミンクレアチニン補正値／アルブミン指数,3A015000000199928,1.2.392.200119.6.1005,mg/g･CR,mg/g*CR,PQ,,2：その他,尿検査,数字,3A01560000,,,,,,,変更なし,,2025-08-20
尿中アルブミン一日量,3A015000000406126,1.2.392.200119.6.1005,mg/day,mg/day,PQ,,1：免疫比濁法（TIA）,尿検査,数字,3A01570000,,,,,,,変更なし,,2025-08-20
尿中アルブミン一日量,3A015000000499926,1.2.392.200119.6.1005,mg/day,mg/day,PQ,,2：その他,尿検査,数字,3A01580000,,,,,,,変更なし,,2025-08-20
尿中アルブミン定量,3A015000000106101,1.2.392.200119.6.1005,mg/L,mg/L,PQ,,1：免疫比濁法（TIA）（尿）,尿検査,数字,3A01510000,,,,,,,変更なし,,2025-08-20
尿中アルブミン定量,3A015000000199901,1.2.392.200119.6.1005,mg/L,mg/L,PQ,,2：その他（尿）,尿検査,数字,3A01520000,,,,,,,変更なし,,2025-08-20
尿中アルブミン定量,3A015000000406101,1.2.392.200119.6.1005,mg/L,mg/L,PQ,,3：免疫比濁法（TIA）（蓄尿）,尿検査,数字,3A01530000,,,,,,,変更なし,,2025-08-20
尿中アルブミン定量,3A015000000499901,1.2.392.200119.6.1005,mg/L,mg/L,PQ,,4：その他（蓄尿）,尿検査,数字,3A01540000,,,,,,,変更なし,,2025-08-20
尿比重,1A030000000190301,1.2.392.200119.6.1005,,,PQ,,1：屈折計法,尿検査,数字,1A03010000,,,,,,,変更なし,,2025-08-20
尿比重,1A030000000199901,1.2.392.200119.6.1005,,,PQ,,2：その他,尿検査,数字,1A03020009,,,,,,,変更なし,,2025-08-20
尿沈渣(所見),1A105160800166249,1.2.392.200119.6.1005,,,ST,,,尿検査,文字列,,,,,,,,変更なし,,2025-08-20
尿沈渣(所見の有無),1A105160700166211,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2002,,尿検査,コード,,,,,,,,変更なし,,2025-08-20
