項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
貧血,9N731000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N731000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
貧血検査(実施理由),2A020161001930149,1.2.392.200119.6.1005,,,ST,,,血液像検査,文字列,,,,,,,,変更なし,,2025-08-20
赤血球数,2A020000001930101,1.2.392.200119.6.1005,万/mm3,10*4/mm3,PQ,,自動血球算定装置,血液像検査,数字,,//cda:observation[ cda:code/@code='2A020000001930101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
身長,9N001000000000001,1.2.392.200119.6.1005,cm,cm,PQ,,,身体計測,数字,,//cda:observation[ cda:code/@code='9N001000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,変更なし,,2025-08-20
週に1回以上は外出していますか（後期）,9N944000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19130,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
随時中性脂肪(トリグリセリド),3F015129902327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(酵素比色法・グリセロール消去),生化学検査,数字,3F01510000,//cda:observation[ cda:code/@code='3F015129902327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,,False,,,,更新,"差分: XML検査方法コード,XMLデータ型,XPathテンプレ,XML用単位",2025-08-20
随時中性脂肪(トリグリセリド),3F015129902327201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：紫外吸光光度法(酵素比色法・グリセロール消去),生化学検査,数字,3F01520000,,,,,,,変更なし,,2025-08-20
随時中性脂肪(トリグリセリド),3F015129902399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,生化学検査,数字,3F01530009,,,,,,,変更なし,,2025-08-20
随時血糖,3D010129901926101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：電位差法(ブドウ糖酸化酵素電極法),血糖検査,数字,3D01010000,//cda:observation[ cda:code/@code='3D010129901926101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,,False,,,,更新,"差分: XML検査方法コード,XMLデータ型,XPathテンプレ,XML用単位",2025-08-20
随時血糖,3D010129901927201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：紫外吸光光度法(ヘキソキナーゼ法、グルコキナーゼ法、ブドウ糖脱水素酵素法),血糖検査,数字,3D01030000,,,,,,,変更なし,,2025-08-20
随時血糖,3D010129901999901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,4：その他,血糖検査,数字,3D01040009,,,,,,,変更なし,,2025-08-20
随時血糖,3D010129902227101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：可視吸光光度法(ブドウ糖酸化酵素法),血糖検査,数字,3D01020000,,,,,,,変更なし,,2025-08-20
食べ方1(早食い等),9N766000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2004,,質問票,コード,,//cda:observation[ cda:code/@code='9N766000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
食べ方2(就寝前),9N771000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N771000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
食べ方3(間食),9N782000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18040,,質問票,コード,,//cda:observation[ cda:code/@code='9N782000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
食習慣,9N781000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N781000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
飲酒,9N786000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.24040,,質問票,コード,,//cda:observation[ cda:code/@code='9N786000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
飲酒量,9N791000000000011,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.24050,,質問票,コード,,//cda:observation[ cda:code/@code='9N791000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
１日３食きちんと食べていますか（後期）,9N934000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19030,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
６カ月間で２～３kg以上の体重減少がありましたか（後期）,9N937000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.19060,,後期質問票,コード,,,,,,,,変更なし,,2025-08-20
