OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
1.2.392.200119.6.1109,02,データの記録もれ,2,,,1.2.392.200119.6.1109-02
1.2.392.200119.6.1109,03,健診結果データ異常,3,,,1.2.392.200119.6.1109-03
1.2.392.200119.6.1109,04,契約対象外,4,,,1.2.392.200119.6.1109-04
1.2.392.200119.6.1109,05,受診券・利用券の整理番号不備,5,,,1.2.392.200119.6.1109-05
1.2.392.200119.6.1109,06,有効期限外,6,,,1.2.392.200119.6.1109-06
1.2.392.200119.6.1109,07,窓口負担金額不備,7,,,1.2.392.200119.6.1109-07
1.2.392.200119.6.1109,08,健診・指導機関からの取下げ依頼による,8,,,1.2.392.200119.6.1109-08
1.2.392.200119.6.1109,09,その他,9,,,1.2.392.200119.6.1109-09
1.2.392.200119.6.1110,01,被保険者証の記号・番号の誤り,1,,,1.2.392.200119.6.1110-01
1.2.392.200119.6.1110,02,受診券・利用券の整理番号の誤り,2,,,1.2.392.200119.6.1110-02
1.2.392.200119.6.1110,03,受診者・利用者氏名の誤り,3,,,1.2.392.200119.6.1110-03
1.2.392.200119.6.1110,04,該当者なし,4,,,1.2.392.200119.6.1110-04
1.2.392.200119.6.1110,05,保険者番号と記号の不一致,5,,,1.2.392.200119.6.1110-05
1.2.392.200119.6.1110,06,資格喪失後の受診,6,,,1.2.392.200119.6.1110-06
1.2.392.200119.6.1110,07,重複請求,7,,,1.2.392.200119.6.1110-07
1.2.392.200119.6.1110,08,健診・指導機関からの取下げ依頼による,8,,,1.2.392.200119.6.1110-08
1.2.392.200119.6.1110,09,その他,9,,,1.2.392.200119.6.1110-09
1.2.392.200119.6.1111,1,開始時,1,,,1.2.392.200119.6.1111-1
1.2.392.200119.6.1111,2,実績評価時,2,2：集合契約の場合の最終決済時に記録,,1.2.392.200119.6.1111-2
1.2.392.200119.6.1111,3,途中終了時,3,3：被保険者資格喪失による利用停止・脱落等,,1.2.392.200119.6.1111-3
1.2.392.200119.6.1111,4,その他,4,4：個別契約の場合に記録（月次決済時、報告のみ等）1～3に該当しない場合,,1.2.392.200119.6.1111-4
1.2.392.200119.6.1111,5,初回未完了,5,5：初回面接を分割実施し、被保険者資格喪失による利用停止・脱落等により初回面接①のみとなった場合,,1.2.392.200119.6.1111-5
1.2.392.200119.6.1112,1,積極的支援,1,,,1.2.392.200119.6.1112-1
1.2.392.200119.6.1112,2,動機づけ支援,2,,,1.2.392.200119.6.1112-2
1.2.392.200119.6.1112,3,動機付け支援相当,3,,,1.2.392.200119.6.1112-3
1.2.392.200119.6.24010,1,個別支援（対面）,1,,,1.2.392.200119.6.24010-1
1.2.392.200119.6.24010,2,個別支援（遠隔）,2,,,1.2.392.200119.6.24010-2
1.2.392.200119.6.24010,3,グループ支援（対面）,3,,,1.2.392.200119.6.24010-3
1.2.392.200119.6.24010,4,グループ支援（遠隔）,4,,,1.2.392.200119.6.24010-4
1.2.392.200119.6.24010,5,電話,5,初回面接(分割して実施した場合は1回目) は入力不可能,,1.2.392.200119.6.24010-5
1.2.392.200119.6.24010,6,電子メール等,6,初回面接(分割して実施した場合は1回目) は入力不可能,,1.2.392.200119.6.24010-6
1.2.392.200119.6.1114,1,初回指導時全額徴収,1,,,1.2.392.200119.6.1114-1
1.2.392.200119.6.1114,2,それ以外,2,,,1.2.392.200119.6.1114-2
1.2.392.200119.6.24020,1,質問票の記載違い(服薬中)を確認,1,,,1.2.392.200119.6.24020-1
1.2.392.200119.6.24020,2,健診以後に服薬開始を確認,2,,,1.2.392.200119.6.24020-2
